"スキル項目コード","専門分野コード"
"S110050020","HP-010-030"
"S110050030","HI-010-010"
"S110050030","HI-030-010"
"S110050030","HI-110-010"
"S110050030","HE-010-010"
"S110050030","HF-010-010"
"S110050030","HF-010-020"
"S110050030","HF-020-010"
"S110050030","HF-030-010"
"S110050030","HF-030-020"
"S110050030","HN-010-010"
"S110050030","HN-010-020"
"S110050030","HP-010-020"
"S110050030","HP-010-030"
"S110050040","HI-010-010"
"S110050040","HI-030-010"
"S110050040","HI-110-010"
"S110050040","HE-010-010"
"S110050040","HF-010-010"
"S110050040","HF-010-020"
"S110050040","HF-020-010"
"S110050040","HF-030-010"
"S110050040","HF-030-020"
"S110050040","HN-010-010"
"S110050040","HN-010-020"
"S110050040","HP-010-020"
"S110050040","HP-010-030"
"S110060010","HI-020-010"
"S110060010","HI-030-010"
"S110060010","HI-040-010"
"S110060010","HI-090-010"
"S110060010","HI-090-020"
"S110060010","HI-090-030"
"S110060010","HI-100-010"
"S110060010","HU-020-010"
"S110060010","HU-030-010"
"S110060010","HU-040-010"
"S110060010","HU-050-010"
"S110060010","HU-090-010"
"S110060010","HU-110-010"
"S110060010","HE-050-010"
"S110060010","HS-010-010"
"S110060010","HS-020-010"
"S110060010","HS-030-020"
"S110060010","HS-050-010"
"S110060010","HS-060-010"
"S110060010","HF-010-010"
"S110060010","HF-010-030"
"S110060010","HF-010-040"
"S110060010","HF-020-010"
"S110060010","HF-020-020"
"S110060010","HF-030-010"
"S110060010","HF-030-020"
"S110060010","HF-030-040"
"S110060010","HF-040-010"
"S110060010","HF-040-020"
"S110060010","HN-010-010"
"S110060010","HN-010-020"
"S110060010","HN-010-030"
"S110060010","HN-030-010"
"S110060010","HP-010-010"
"S110060010","HP-010-020"
"S110060010","HP-010-030"
"S110060010","HP-010-050"
"S110060010","HP-010-130"
"S110060020","HI-020-010"
"S110060020","HI-030-010"
"S110060020","HI-040-010"
"S110060020","HI-090-010"
"S110060020","HI-090-020"
"S110060020","HI-090-030"
"S110060020","HI-100-010"
"S110060020","HU-020-010"
"S110060020","HU-030-010"
