"スキル項目コード","専門分野コード"
"S150010060","HN-030-030"
"S150010060","HP-010-020"
"S150010060","HP-010-030"
"S150010060","HP-010-040"
"S150010060","HP-010-060"
"S150010060","HP-010-090"
"S150010060","HP-010-130"
"S150010070","HI-040-010"
"S150010070","HI-060-010"
"S150010070","HI-060-020"
"S150010070","HI-060-030"
"S150010070","HI-060-040"
"S150010070","HI-060-050"
"S150010070","HI-060-060"
"S150010070","HI-070-010"
"S150010070","HU-070-010"
"S150010070","HU-080-010"
"S150010070","HE-070-010"
"S150010070","HE-080-010"
"S150010070","HE-090-010"
"S150010070","HS-020-010"
"S150010070","HS-030-020"
"S150010070","HS-060-010"
"S150010070","HF-010-010"
"S150010070","HF-010-030"
"S150010070","HF-010-050"
"S150010070","HF-020-010"
"S150010070","HF-020-030"
"S150010070","HF-020-050"
"S150010070","HF-030-010"
"S150010070","HF-030-030"
"S150010070","HF-030-060"
"S150010070","HF-040-030"
"S150010070","HN-010-030"
"S150010070","HN-020-030"
"S150010070","HN-030-030"
"S150010070","HP-010-010"
"S150010070","HP-010-020"
"S150010070","HP-010-030"
"S150010070","HP-010-040"
"S150010070","HP-010-050"
"S150010070","HP-010-060"
"S150010070","HP-010-090"
"S150010070","HP-010-130"
"S150010080","HI-040-010"
"S150010080","HI-060-010"
"S150010080","HI-060-020"
"S150010080","HI-060-030"
"S150010080","HI-060-040"
"S150010080","HI-060-050"
"S150010080","HI-060-060"
"S150010080","HI-070-010"
"S150010080","HU-070-010"
"S150010080","HU-080-010"
"S150010080","HE-090-010"
"S150010080","HS-020-010"
"S150010080","HS-030-020"
"S150010080","HS-060-010"
"S150010080","HF-010-010"
"S150010080","HF-010-030"
"S150010080","HF-010-050"
"S150010080","HF-020-010"
"S150010080","HF-020-030"
"S150010080","HF-020-050"
"S150010080","HF-030-010"
"S150010080","HF-030-030"
"S150010080","HF-030-060"
"S150010080","HF-040-030"
"S150010080","HN-010-030"
"S150010080","HN-020-030"
"S150010080","HP-010-020"
"S150010080","HP-010-030"
"S150010080","HP-010-130"
"S150010090","HI-040-010"
"S150010090","HI-060-010"
"S150010090","HI-060-020"
"S150010090","HI-060-030"
"S150010090","HI-060-040"
"S150010090","HI-060-050"
"S150010090","HI-060-060"
"S150010090","HI-070-010"
"S150010090","HU-070-010"
"S150010090","HU-080-010"
"S150010090","HE-090-010"
"S150010090","HS-020-010"
"S150010090","HS-030-020"
"S150010090","HS-060-010"
"S150010090","HF-010-010"
"S150010090","HF-010-030"
"S150010090","HF-010-050"
"S150010090","HF-020-010"
"S150010090","HF-020-030"
"S150010090","HF-020-050"
"S150010090","HF-030-010"
"S150010090","HF-030-030"
"S150010090","HF-030-060"
"S150010090","HF-040-030"
"S150010090","HN-010-030"
"S150010090","HN-020-030"
"S150010090","HN-030-020"
"S150010090","HN-030-030"
"S150010090","HP-010-020"
"S150010090","HP-010-030"
"S150010090","HP-010-130"
"S150010100","HI-040-010"
"S150010100","HE-090-010"
"S150010100","HS-020-010"
"S150010100","HS-030-020"
"S150010100","HS-060-010"
"S150010100","HF-010-010"
"S150010100","HF-010-030"
"S150010100","HF-020-010"
"S150010100","HF-020-030"
"S150010100","HF-020-050"
"S150010100","HF-030-010"
"S150010100","HF-030-030"
"S150010100","HP-010-010"
"S150010100","HP-010-020"
"S150010100","HP-010-030"
"S150010100","HP-010-130"
"S150010110","HI-040-010"
"S150010110","HI-060-010"
"S150010110","HI-060-020"
"S150010110","HI-060-030"
"S150010110","HI-060-040"
"S150010110","HI-060-050"
"S150010110","HI-060-060"
"S150010110","HI-070-010"
"S150010110","HU-070-010"
"S150010110","HU-080-010"
"S150010110","HE-070-010"
"S150010110","HE-080-010"
"S150010110","HE-090-010"
"S150010110","HS-020-010"
"S150010110","HS-030-020"
"S150010110","HS-060-010"
"S150010110","HF-010-010"
"S150010110","HF-010-030"
"S150010110","HF-010-050"
"S150010110","HF-020-010"
"S150010110","HF-020-030"
"S150010110","HF-020-050"
"S150010110","HF-030-010"
"S150010110","HF-030-030"
"S150010110","HF-030-060"
"S150010110","HF-040-030"
"S150010110","HN-010-030"
"S150010110","HN-020-030"
"S150010110","HN-030-030"
"S150010110","HP-010-020"
"S150010110","HP-010-030"
"S150010110","HP-010-040"
"S150010110","HP-010-060"
"S150010110","HP-010-090"
"S150010110","HP-010-130"
"S150010120","HI-040-010"
"S150010120","HS-020-010"
"S150010120","HS-030-020"
"S150010120","HS-060-010"
"S150010120","HF-010-010"
"S150010120","HF-010-030"
"S150010120","HF-020-010"
"S150010120","HF-020-030"
"S150010120","HF-020-050"
"S150010120","HF-030-010"
"S150010120","HF-030-030"
"S150010120","HP-010-020"
"S150010120","HP-010-030"
"S150010120","HP-010-130"
"S150010130","HI-060-010"
"S150010130","HI-060-020"
"S150010130","HI-060-030"
"S150010130","HI-060-040"
"S150010130","HI-060-050"
"S150010130","HI-060-060"
"S150010130","HI-070-010"
"S150010130","HU-070-010"
"S150010130","HU-080-010"
"S150010130","HE-070-010"
"S150010130","HE-080-010"
"S150010130","HF-010-050"
"S150010130","HF-020-030"
"S150010130","HF-020-050"
"S150010130","HF-030-030"
"S150010130","HF-030-060"
"S150010130","HF-040-030"
"S150010130","HN-010-030"
"S150010130","HN-020-030"
"S150010130","HN-030-030"
"S150010130","HP-010-030"
"S150010130","HP-010-040"
"S150010130","HP-010-060"
"S150010130","HP-010-090"
"S150010130","HP-010-130"
"S150010140","HI-040-010"
"S150010140","HI-060-010"
"S150010140","HI-060-020"
"S150010140","HI-060-030"
"S150010140","HI-060-040"
"S150010140","HI-060-050"
"S150010140","HI-060-060"
"S150010140","HI-070-010"
"S150010140","HU-070-010"
"S150010140","HU-080-010"
"S150010140","HE-070-010"
"S150010140","HE-080-010"
"S150010140","HE-090-010"
"S150010140","HS-020-010"
"S150010140","HF-010-010"
"S150010140","HF-010-030"
"S150010140","HF-010-050"
"S150010140","HF-020-010"
"S150010140","HF-020-030"
"S150010140","HF-020-050"
"S150010140","HF-030-010"
"S150010140","HF-030-030"
"S150010140","HF-030-060"
"S150010140","HF-040-030"
"S150010140","HN-010-030"
"S150010140","HN-020-030"
"S150010140","HN-030-030"
"S150010140","HP-010-020"
"S150010140","HP-010-030"
"S150010140","HP-010-040"
"S150010140","HP-010-060"
"S150010140","HP-010-090"
"S150010140","HP-010-130"
"S150010150","HI-060-010"
"S150010150","HI-060-020"
"S150010150","HI-060-030"
"S150010150","HI-060-040"
"S150010150","HI-060-050"
"S150010150","HI-060-060"
"S150010150","HI-070-010"
"S150010150","HU-070-010"
"S150010150","HU-080-010"
"S150010150","HE-070-010"
"S150010150","HE-080-010"
"S150010150","HF-010-050"
"S150010150","HF-020-030"
"S150010150","HF-020-050"
"S150010150","HF-030-030"
"S150010150","HF-030-060"
"S150010150","HF-040-030"
"S150010150","HN-010-030"
"S150010150","HN-020-030"
"S150010150","HN-030-030"
"S150010150","HP-010-030"
"S150010150","HP-010-040"
"S150010150","HP-010-060"
"S150010150","HP-010-090"
"S150010150","HP-010-130"
"S150010160","HI-040-010"
"S150010160","HI-060-010"
"S150010160","HI-060-020"
"S150010160","HI-060-030"
"S150010160","HI-060-040"
"S150010160","HI-060-050"
"S150010160","HI-060-060"
"S150010160","HI-070-010"
"S150010160","HU-070-010"
"S150010160","HU-080-010"
"S150010160","HE-070-010"
"S150010160","HE-080-010"
"S150010160","HE-090-010"
"S150010160","HS-020-010"
"S150010160","HS-030-020"
"S150010160","HS-060-010"
"S150010160","HF-010-010"
"S150010160","HF-010-030"
"S150010160","HF-010-050"
"S150010160","HF-020-010"
"S150010160","HF-020-030"
"S150010160","HF-020-050"
"S150010160","HF-030-010"
"S150010160","HF-030-030"
"S150010160","HF-030-060"
"S150010160","HF-040-030"
"S150010160","HN-010-030"
"S150010160","HN-020-030"
"S150010160","HN-030-030"
"S150010160","HP-010-020"
"S150010160","HP-010-030"
"S150010160","HP-010-040"
"S150010160","HP-010-060"
"S150010160","HP-010-090"
"S150010160","HP-010-130"
"S150010170","HI-040-010"
"S150010170","HI-060-010"
"S150010170","HI-060-020"
"S150010170","HI-060-030"
"S150010170","HI-060-040"
"S150010170","HI-060-050"
"S150010170","HI-060-060"
"S150010170","HI-070-010"
"S150010170","HU-070-010"
"S150010170","HU-080-010"
"S150010170","HE-070-010"
"S150010170","HE-080-010"
"S150010170","HS-020-010"
"S150010170","HF-010-010"
"S150010170","HF-010-030"
"S150010170","HF-010-050"
"S150010170","HF-020-010"
"S150010170","HF-020-030"
"S150010170","HF-020-050"
"S150010170","HF-030-010"
"S150010170","HF-030-030"
"S150010170","HF-030-060"
"S150010170","HF-040-030"
"S150010170","HN-010-030"
"S150010170","HN-020-030"
"S150010170","HN-030-030"
"S150010170","HP-010-020"
"S150010170","HP-010-030"
"S150010170","HP-010-040"
"S150010170","HP-010-060"
"S150010170","HP-010-090"
"S150010170","HP-010-130"
"S150010180","HI-040-010"
"S150010180","HI-050-010"
"S150010180","HI-060-010"
"S150010180","HI-060-020"
"S150010180","HI-060-030"
"S150010180","HI-060-040"
"S150010180","HI-060-050"
"S150010180","HI-060-060"
"S150010180","HI-070-010"
"S150010180","HU-060-010"
"S150010180","HU-070-010"
"S150010180","HU-080-010"
"S150010180","HE-070-010"
"S150010180","HE-080-010"
"S150010180","HF-010-040"
"S150010180","HF-010-050"
"S150010180","HF-020-030"
"S150010180","HF-020-040"
"S150010180","HF-020-050"
"S150010180","HF-030-030"
"S150010180","HF-030-050"
"S150010180","HF-030-060"
"S150010180","HF-040-010"
"S150010180","HF-040-030"
"S150010180","HN-010-030"
"S150010180","HN-020-030"
"S150010180","HN-030-030"
"S150010180","HP-010-020"
"S150010180","HP-010-030"
"S150010180","HP-010-040"
"S150010180","HP-010-060"
"S150010180","HP-010-090"
"S150010180","HP-010-130"
"S150030010","HI-020-010"
"S150030010","HI-030-010"
"S150030010","HI-090-010"
"S150030010","HI-090-020"
"S150030010","HI-100-010"
"S150030010","HU-090-010"
"S150030010","HU-110-010"
"S150030010","HS-010-010"
"S150030010","HS-030-010"
"S150030010","HS-030-020"
"S150030010","HS-050-010"
"S150030010","HS-060-010"
"S150030010","HF-010-050"
"S150030010","HF-020-010"
"S150030010","HF-030-040"
"S150030010","HF-030-060"
"S150030010","HF-040-010"
"S150030010","HF-040-020"
"S150030010","HF-040-030"
"S150030010","HN-010-010"
"S150030010","HN-010-030"
"S150030010","HP-010-010"
"S150030010","HP-010-020"
"S150030010","HP-010-030"
"S150030010","HP-010-040"
"S150030010","HP-010-050"
"S150030010","HP-010-060"
"S150030010","HP-010-090"
"S150030020","HI-030-010"
"S150030020","HI-060-010"
"S150030020","HI-060-020"
"S150030020","HI-060-030"
"S150030020","HI-060-040"
"S150030020","HI-060-050"
"S150030020","HI-060-060"
"S150030020","HI-070-010"
"S150030020","HI-090-010"
"S150030020","HI-090-020"
"S150030020","HU-070-010"
"S150030020","HU-080-010"
"S150030020","HU-090-010"
"S150030020","HU-110-010"
"S150030020","HE-070-010"
"S150030020","HE-080-010"
"S150030020","HS-010-010"
"S150030020","HS-020-010"
"S150030020","HS-030-010"
"S150030020","HS-030-020"
"S150030020","HS-050-010"
"S150030020","HS-060-010"
"S150030020","HF-010-050"
"S150030020","HF-020-030"
"S150030020","HF-020-050"
"S150030020","HF-030-030"
"S150030020","HF-030-040"
"S150030020","HF-030-060"
"S150030020","HF-040-020"
"S150030020","HF-040-030"
"S150030020","HN-010-030"
"S150030020","HN-020-030"
"S150030020","HN-030-030"
"S150030020","HP-010-010"
"S150030020","HP-010-020"
"S150030020","HP-010-030"
"S150030020","HP-010-040"
"S150030020","HP-010-050"
"S150030020","HP-010-060"
"S150030020","HP-010-090"
"S150030020","HP-010-130"
"S150040010","HU-030-010"
"S150040010","HP-010-010"
"S150040010","HP-010-020"
"S150040010","HP-010-050"
"S150040020","HU-120-030"
"S150040020","HS-050-010"
"S150040020","HF-010-050"
"S150040020","HF-030-060"
"S150040020","HF-040-030"
"S150040020","HP-010-010"
"S150040020","HP-010-020"
"S150040020","HP-010-050"
"S150040020","HP-010-060"
"S150040020","HP-010-070"
"S150040020","HP-010-130"
"S150060010","HI-060-010"
"S150060010","HI-060-020"
"S150060010","HI-060-030"
"S150060010","HI-060-040"
"S150060010","HI-060-050"
"S150060010","HI-060-060"
"S150060010","HI-070-010"
"S150060010","HU-070-010"
"S150060010","HU-080-010"
"S150060010","HU-120-010"
"S150060010","HS-050-010"
"S150060010","HF-010-050"
"S150060010","HF-020-050"
"S150060010","HF-030-040"
"S150060010","HF-030-060"
"S150060010","HF-040-020"
"S150060010","HF-040-030"
"S150060010","HN-010-030"
"S150070010","HI-090-030"
"S150070010","HP-010-050"
"S150080010","HI-090-010"
"S150080010","HI-090-020"
"S150080010","HU-120-020"
"S150080010","HS-050-010"
"S150080010","HF-010-050"
"S150080010","HF-020-050"
"S150080010","HF-030-060"
"S150080010","HF-040-030"
"S150080010","HN-010-020"
"S150080010","HN-010-030"
"S150080010","HP-010-010"
"S150080010","HP-010-050"
"S150080020","HI-090-010"
"S150080020","HI-090-020"
"S150080020","HU-120-020"
"S150080020","HS-050-010"
"S150080020","HF-010-050"
"S150080020","HF-020-050"
"S150080020","HF-030-060"
"S150080020","HF-040-030"
"S150080020","HN-010-020"
"S150080020","HN-010-030"
"S150080020","HP-010-010"
"S150080020","HP-010-050"
"S150090010","HU-130-010"
"S150090010","HS-060-010"
"S150090010","HP-010-130"
"S150100010","HI-040-010"
"S150100010","HI-070-010"
"S150100010","HI-080-010"
"S150100010","HU-050-010"
"S150100010","HE-090-010"
"S150100010","HS-020-010"
"S150100010","HS-040-010"
"S150100010","HF-010-010"
"S150100010","HF-010-030"
"S150100010","HF-020-010"
"S150100010","HF-020-030"
"S150100010","HF-020-050"
"S150100010","HF-030-010"
"S150100010","HF-030-030"
"S150100010","HP-010-020"
"S150100010","HP-010-030"
"S150100020","HI-040-010"
"S150100020","HI-070-010"
"S150100020","HI-080-010"
"S150100020","HU-050-010"
"S150100020","HE-090-010"
"S150100020","HS-020-010"
"S150100020","HS-040-010"
"S150100020","HF-010-010"
"S150100020","HF-010-030"
"S150100020","HF-020-010"
"S150100020","HF-020-030"
"S150100020","HF-020-050"
"S150100020","HF-030-010"
"S150100020","HF-030-030"
"S150100020","HP-010-020"
"S150100020","HP-010-030"
"S150110010","HI-090-010"
"S150110010","HI-090-020"
"S150110010","HI-110-010"
"S150110010","HU-120-040"
"S150110020","HI-090-010"
"S150110020","HI-090-020"
"S150110020","HI-110-010"
"S150110020","HU-120-040"
"S150110020","HE-070-010"
"S150110020","HN-030-030"
"S150110030","HI-110-010"
"S150110030","HU-120-040"
"S150110030","HE-070-010"
"S150110030","HN-030-030"
"S150110040","HI-110-010"
"S150110040","HU-120-040"
"S150110050","HI-110-010"
"S150110050","HU-120-040"
"S150120010","HU-130-010"
"S150120010","HS-060-010"
"S150120010","HP-010-130"
"S150120020","HU-130-010"
"S150120020","HS-060-010"
"S150120020","HP-010-130"
"S150120030","HP-010-130"
"S150120040","HP-010-130"
"S150120050","HI-040-010"
"S150120050","HI-100-010"
"S150120050","HU-080-010"
"S150120050","HU-090-010"
"S150120050","HU-110-010"
"S150120050","HS-010-010"
"S150120050","HS-020-010"
"S150120050","HS-030-010"
"S150120050","HS-030-020"
"S150120050","HS-050-010"
"S150120050","HS-060-010"
"S150120050","HF-010-030"
"S150120050","HF-010-050"
"S150120050","HF-020-020"
"S150120050","HF-020-030"
"S150120050","HF-020-050"
"S150120050","HF-030-020"
"S150120050","HF-030-030"
"S150120050","HF-030-040"
"S150120050","HF-030-060"
"S150120050","HF-040-010"
"S150120050","HF-040-020"
"S150120050","HF-040-030"
"S150120050","HN-010-020"
"S150120050","HN-010-030"
"S150120050","HN-020-030"
"S150120050","HP-010-010"
"S150120050","HP-010-020"
"S150120050","HP-010-030"
"S150120050","HP-010-040"
"S150120050","HP-010-050"
"S150120050","HP-010-060"
"S150120050","HP-010-090"
"S150120050","HP-010-120"
"S150120050","HP-010-130"
"S150120060","HI-040-010"
"S150120060","HI-100-010"
"S150120060","HU-080-010"
"S150120060","HU-090-010"
"S150120060","HU-110-010"
"S150120060","HS-010-010"
"S150120060","HS-020-010"
"S150120060","HS-030-010"
"S150120060","HS-030-020"
"S150120060","HS-050-010"
"S150120060","HS-060-010"
"S150120060","HF-010-030"
"S150120060","HF-010-050"
"S150120060","HF-020-020"
"S150120060","HF-020-030"
"S150120060","HF-020-050"
"S150120060","HF-030-020"
"S150120060","HF-030-030"
"S150120060","HF-030-040"
"S150120060","HF-030-060"
"S150120060","HF-040-010"
"S150120060","HF-040-020"
"S150120060","HF-040-030"
"S150120060","HN-010-020"
"S150120060","HN-010-030"
"S150120060","HN-020-030"
"S150120060","HP-010-010"
"S150120060","HP-010-020"
"S150120060","HP-010-030"
"S150120060","HP-010-050"
"S150120060","HP-010-060"
"S150120060","HP-010-090"
"S150120060","HP-010-120"
"S150120060","HP-010-130"
"S150130010","HI-010-010"
"S150130010","HI-030-010"
"S150130010","HI-040-010"
"S150130010","HI-090-010"
"S150130010","HI-090-020"
"S150130010","HI-100-010"
"S150130010","HU-020-010"
"S150130010","HU-030-010"
"S150130010","HU-040-010"
"S150130010","HU-050-010"
"S150130010","HU-090-010"
"S150130010","HE-050-010"
"S150130010","HF-010-010"
"S150130010","HF-010-020"
"S150130010","HF-010-030"
"S150130010","HF-010-040"
"S150130010","HF-020-020"
"S150130010","HF-030-010"
"S150130010","HF-030-020"
"S150130010","HF-030-040"
"S150130010","HF-040-010"
"S150130010","HF-040-020"
"S150130010","HN-010-010"
"S150130010","HN-010-020"
"S150130010","HN-010-030"
"S150130010","HP-010-010"
"S150130010","HP-010-020"
"S150130020","HI-030-010"
"S150130020","HI-040-010"
"S150130020","HU-020-010"
"S150130020","HU-040-010"
"S150130020","HU-050-010"
"S150130020","HE-050-010"
"S150130020","HS-010-010"
"S150130020","HF-010-010"
"S150130020","HF-010-030"
"S150130020","HF-020-020"
"S150130020","HF-030-010"
"S150130020","HF-030-020"
"S150130020","HF-040-010"
"S150130020","HN-010-010"
"S150130020","HN-010-020"
"S150130020","HN-010-030"
"S150130020","HP-010-010"
"S150130020","HP-010-020"
"S150130030","HI-010-010"
"S150130030","HI-030-010"
"S150130030","HI-040-010"
"S150130030","HU-020-010"
"S150130030","HU-040-010"
"S150130030","HU-050-010"
"S150130030","HE-050-010"
"S150130030","HS-010-010"
"S150130030","HF-010-010"
"S150130030","HF-010-020"
"S150130030","HF-010-030"
"S150130030","HF-020-020"
"S150130030","HF-030-010"
"S150130030","HF-030-020"
"S150130030","HF-030-040"
"S150130030","HF-040-010"
"S150130030","HF-040-020"
"S150130030","HN-010-010"
"S150130030","HN-010-020"
"S150130030","HN-010-030"
"S150130030","HP-010-010"
"S150130030","HP-010-020"
"S150130040","HI-010-010"
"S150130040","HI-030-010"
"S150130040","HU-020-010"
"S150130040","HU-050-010"
"S150130040","HF-010-010"
"S150130040","HF-010-020"
"S150130040","HF-010-030"
"S150130040","HF-030-010"
"S150130040","HF-030-020"
"S150130040","HF-030-040"
"S150130040","HF-040-010"
"S150130040","HF-040-020"
"S150130040","HN-010-010"
"S210010010","HI-060-010"
"S210010010","HI-060-020"
"S210010010","HI-060-030"
"S210010010","HI-060-040"
"S210010010","HI-060-050"
"S210010010","HI-060-060"
"S210010010","HI-070-010"
"S210010010","HI-080-010"
"S210010010","HI-090-020"
"S210010010","HU-070-010"
"S210010010","HE-020-010"
"S210010010","HE-020-020"
"S210010010","HE-040-010"
"S210010010","HE-050-010"
"S210010010","HE-060-010"
"S210010010","HE-070-010"
"S210010010","HE-070-020"
"S210010010","HE-080-010"
"S210010010","HE-100-010"
"S210010010","HF-020-030"
"S210010010","HF-030-030"
"S210010010","HF-040-010"
"S210010010","HN-020-030"
"S210010010","HN-030-030"
"S210010010","HN-030-050"
"S210010010","HP-010-030"
"S210010010","HP-010-060"
"S210010020","HI-060-010"
"S210010020","HI-060-020"
"S210010020","HI-060-030"
"S210010020","HI-060-040"
"S210010020","HI-060-050"
"S210010020","HI-060-060"
"S210010020","HI-070-010"
"S210010020","HI-080-010"
"S210010020","HI-090-020"
"S210010020","HU-070-010"
"S210010020","HE-020-010"
"S210010020","HE-020-020"
"S210010020","HE-040-010"
"S210010020","HE-050-010"
"S210010020","HE-060-010"
"S210010020","HE-070-010"
"S210010020","HE-080-010"
"S210010020","HE-100-010"
"S210010020","HF-020-030"
"S210010020","HF-030-030"
"S210010020","HF-040-010"
"S210010020","HN-020-030"
"S210010020","HN-030-030"
"S210010020","HN-030-050"
"S210010020","HP-010-030"
"S210010020","HP-010-060"
"S210010030","HI-060-010"
"S210010030","HI-060-020"
"S210010030","HI-060-030"
"S210010030","HI-060-040"
"S210010030","HI-060-050"
"S210010030","HI-060-060"
"S210010030","HI-070-010"
"S210010030","HI-080-010"
"S210010030","HI-090-020"
"S210010030","HU-070-010"
"S210010030","HE-020-010"
"S210010030","HE-020-020"
"S210010030","HE-040-010"
"S210010030","HE-050-010"
"S210010030","HE-060-010"
"S210010030","HE-070-010"
"S210010030","HE-080-010"
"S210010030","HE-100-010"
"S210010030","HF-020-030"
"S210010030","HF-030-030"
"S210010030","HF-040-010"
"S210010030","HN-020-030"
"S210010030","HN-030-030"
"S210010030","HN-030-050"
"S210010030","HP-010-030"
"S210010030","HP-010-060"
"S210010040","HI-060-010"
"S210010040","HI-060-020"
"S210010040","HI-060-030"
"S210010040","HI-060-040"
"S210010040","HI-060-050"
"S210010040","HI-060-060"
"S210010040","HI-070-010"
"S210010040","HI-080-010"
"S210010040","HU-070-010"
"S210010040","HE-020-010"
"S210010040","HE-020-020"
"S210010040","HE-040-010"
"S210010040","HE-050-010"
"S210010040","HE-060-010"
"S210010040","HE-070-010"
"S210010040","HE-080-010"
"S210010040","HE-100-010"
"S210010040","HF-020-030"
"S210010040","HF-030-030"
"S210010040","HF-040-010"
"S210010040","HN-020-030"
"S210010040","HN-030-030"
"S210010040","HN-030-050"
"S210010040","HP-010-030"
"S210010040","HP-010-060"
"S210010050","HI-060-010"
"S210010050","HI-060-020"
"S210010050","HI-060-030"
"S210010050","HI-060-040"
"S210010050","HI-060-050"
"S210010050","HI-060-060"
"S210010050","HI-070-010"
"S210010050","HI-080-010"
"S210010050","HU-070-010"
"S210010050","HE-020-010"
"S210010050","HE-020-020"
"S210010050","HE-040-010"
"S210010050","HE-050-010"
"S210010050","HE-060-010"
"S210010050","HE-070-010"
"S210010050","HE-070-020"
"S210010050","HE-080-010"
"S210010050","HE-100-010"
"S210010050","HF-020-030"
"S210010050","HF-030-030"
"S210010050","HF-040-010"
"S210010050","HN-020-030"
"S210010050","HN-030-030"
"S210010050","HN-030-050"
"S210010050","HP-010-030"
"S210010060","HI-070-010"
"S210010060","HI-080-010"
"S210010060","HU-070-010"
"S210010060","HE-070-010"
"S210010060","HE-080-010"
"S210010060","HE-100-010"
"S210010060","HF-020-030"
"S210010060","HF-030-030"
"S210010060","HF-040-010"
"S210010060","HN-020-030"
"S210010060","HN-030-030"
"S210010060","HN-030-050"
"S210010060","HP-010-030"
"S210010070","HI-070-010"
"S210010070","HI-080-010"
"S210010070","HU-070-010"
"S210010070","HE-070-010"
"S210010070","HE-080-010"
"S210010070","HE-100-010"
"S210010070","HF-020-030"
"S210010070","HF-030-030"
"S210010070","HF-040-010"
"S210010070","HN-020-030"
"S210010070","HN-030-030"
"S210010070","HN-030-050"
"S210010070","HP-010-030"
"S210010080","HI-070-010"
"S210010080","HI-080-010"
"S210010080","HU-070-010"
"S210010080","HE-070-010"
"S210010080","HE-080-010"
"S210010080","HE-100-010"
"S210010080","HF-020-030"
"S210010080","HF-030-030"
"S210010080","HF-040-010"
"S210010080","HN-020-030"
"S210010080","HN-030-030"
"S210010080","HN-030-050"
"S210010080","HP-010-030"
"S210010090","HI-060-010"
"S210010090","HI-060-020"
"S210010090","HI-060-030"
"S210010090","HI-060-040"
"S210010090","HI-060-050"
"S210010090","HI-060-060"
"S210010090","HI-070-010"
"S210010090","HI-080-010"
"S210010090","HU-070-010"
"S210010090","HE-070-010"
"S210010090","HE-080-010"
"S210010090","HE-100-010"
"S210010090","HF-020-030"
"S210010090","HF-030-030"
"S210010090","HF-040-010"
"S210010090","HN-020-030"
"S210010090","HN-030-030"
"S210010090","HN-030-050"
"S210010090","HP-010-030"
"S210010100","HI-060-010"
"S210010100","HI-060-020"
"S210010100","HI-060-030"
"S210010100","HI-060-040"
"S210010100","HI-060-050"
"S210010100","HI-060-060"
"S210010100","HI-070-010"
"S210010100","HI-080-010"
"S210010100","HI-090-020"
"S210010100","HU-070-010"
"S210010100","HE-020-010"
"S210010100","HE-020-020"
"S210010100","HE-040-010"
"S210010100","HE-050-010"
"S210010100","HE-060-010"
"S210010100","HE-070-010"
"S210010100","HE-080-010"
"S210010100","HE-100-010"
"S210010100","HF-020-030"
"S210010100","HF-030-030"
"S210010100","HF-040-010"
"S210010100","HN-020-030"
"S210010100","HN-030-030"
"S210010100","HN-030-050"
"S210010100","HP-010-030"
"S210010100","HP-010-060"
"S210010110","HI-070-010"
"S210010110","HI-080-010"
"S210010110","HI-090-020"
"S210010110","HU-070-010"
"S210010110","HE-020-010"
"S210010110","HE-020-020"
"S210010110","HE-040-010"
"S210010110","HE-050-010"
"S210010110","HE-060-010"
"S210010110","HE-070-010"
"S210010110","HE-080-010"
"S210010110","HE-100-010"
"S210010110","HF-020-030"
"S210010110","HF-030-030"
"S210010110","HF-040-010"
"S210010110","HN-020-030"
"S210010110","HN-030-030"
"S210010110","HN-030-050"
"S210010110","HP-010-030"
"S210010110","HP-010-060"
"S210010120","HI-060-010"
"S210010120","HI-060-020"
"S210010120","HI-060-030"
"S210010120","HI-060-040"
"S210010120","HI-060-050"
"S210010120","HI-060-060"
"S210010120","HI-070-010"
"S210010120","HI-080-010"
"S210010120","HI-090-020"
"S210010120","HU-070-010"
"S210010120","HE-020-010"
"S210010120","HE-020-020"
"S210010120","HE-040-010"
"S210010120","HE-050-010"
"S210010120","HE-060-010"
"S210010120","HE-070-010"
"S210010120","HE-070-020"
"S210010120","HE-080-010"
"S210010120","HE-100-010"
"S210010120","HF-020-030"
"S210010120","HF-030-030"
"S210010120","HF-040-010"
"S210010120","HN-020-030"
"S210010120","HN-030-030"
"S210010120","HN-030-050"
"S210010120","HP-010-030"
"S210010120","HP-010-060"
"S210020010","HI-060-010"
"S210020010","HI-060-020"
"S210020010","HI-060-030"
"S210020010","HI-060-040"
"S210020010","HI-060-050"
"S210020010","HI-060-060"
"S210020010","HI-070-010"
"S210020010","HI-080-010"
"S210020010","HI-090-020"
"S210020010","HU-070-010"
"S210020010","HE-020-010"
"S210020010","HE-020-020"
"S210020010","HE-040-010"
"S210020010","HE-050-010"
"S210020010","HE-060-010"
"S210020010","HE-070-010"
"S210020010","HE-080-010"
"S210020010","HE-100-010"
"S210020010","HF-020-030"
"S210020010","HF-030-030"
"S210020010","HF-040-010"
"S210020010","HN-020-030"
"S210020010","HN-030-030"
"S210020010","HN-030-050"
"S210020010","HP-010-030"
"S210020010","HP-010-060"
"S210020020","HI-060-010"
"S210020020","HI-060-020"
"S210020020","HI-060-030"
"S210020020","HI-060-040"
"S210020020","HI-060-050"
"S210020020","HI-060-060"
"S210020020","HI-070-010"
"S210020020","HI-080-010"
"S210020020","HI-090-020"
"S210020020","HU-070-010"
"S210020020","HE-020-010"
"S210020020","HE-020-020"
"S210020020","HE-040-010"
"S210020020","HE-050-010"
"S210020020","HE-060-010"
"S210020020","HE-070-010"
"S210020020","HE-080-010"
"S210020020","HE-100-010"
"S210020020","HF-020-030"
"S210020020","HF-030-030"
"S210020020","HF-040-010"
"S210020020","HN-020-030"
